"name","type","description"
"feature_1","float","tBodyAcc-mean()-X"
"feature_2","float","tBodyAcc-mean()-Y"
"feature_3","float","tBodyAcc-mean()-Z"
"feature_4","float","tBodyAcc-std()-X"
"feature_5","float","tBodyAcc-std()-Y"
"feature_6","float","tBodyAcc-std()-Z"
"feature_7","float","tBodyAcc-mad()-X"
"feature_8","float","tBodyAcc-mad()-Y"
"feature_9","float","tBodyAcc-mad()-Z"
"feature_10","float","tBodyAcc-max()-X"
"feature_11","float","tBodyAcc-max()-Y"
"feature_12","float","tBodyAcc-max()-Z"
"feature_13","float","tBodyAcc-min()-X"
"feature_14","float","tBodyAcc-min()-Y"
"feature_15","float","tBodyAcc-min()-Z"
"feature_16","float","tBodyAcc-sma()"
"feature_17","float","tBodyAcc-energy()-X"
"feature_18","float","tBodyAcc-energy()-Y"
"feature_19","float","tBodyAcc-energy()-Z"
"feature_20","float","tBodyAcc-iqr()-X"
"feature_21","float","tBodyAcc-iqr()-Y"
"feature_22","float","tBodyAcc-iqr()-Z"
"feature_23","float","tBodyAcc-entropy()-X"
"feature_24","float","tBodyAcc-entropy()-Y"
"feature_25","float","tBodyAcc-entropy()-Z"
"feature_26","float","tBodyAcc-arCoeff()-X,1"
"feature_27","float","tBodyAcc-arCoeff()-X,2"
"feature_28","float","tBodyAcc-arCoeff()-X,3"
"feature_29","float","tBodyAcc-arCoeff()-X,4"
"feature_30","float","tBodyAcc-arCoeff()-Y,1"
"feature_31","float","tBodyAcc-arCoeff()-Y,2"
"feature_32","float","tBodyAcc-arCoeff()-Y,3"
"feature_33","float","tBodyAcc-arCoeff()-Y,4"
"feature_34","float","tBodyAcc-arCoeff()-Z,1"
"feature_35","float","tBodyAcc-arCoeff()-Z,2"
"feature_36","float","tBodyAcc-arCoeff()-Z,3"
"feature_37","float","tBodyAcc-arCoeff()-Z,4"
"feature_38","float","tBodyAcc-correlation()-X,Y"
"feature_39","float","tBodyAcc-correlation()-X,Z"
